question,option_1,option_2,option_3,option_4,source,answer,type,num_voters
"1918-yil 21-iyunda “Ishtirokiyun” gazetasining ilk soni chop etildi.

Ishtirokiyun — bu...",Inqilob,Istiqlol,Kommunist,Tirilish,https://t.me/oriftolib/3873,2,meaning_in_context,"[899, 545, 436]"
"Avval salom, baʼdaz kalom.

baʼdaz — bu...","Eng oldingi, ilk","Yoqimli, muloyim","Keyin, soʻng","Koʻp, quyuq",https://t.me/oriftolib/3762,3,meaning_in_context,"[158, 168, 1955]"
"Bashirjon chagʻir koʻzli shofyorga zimdan qarab-qarab qoʻyar... edi. (N. Aminov, “Qahqaha”)

chagʻir — bu...","Ola-bula, kulrang","Oʻtkir, sezgir","Xira, nursizlangan","Harakatchan, chayir",https://t.me/oriftolib/3444,1,meaning_in_context,"[654, 956, 362]"
"Binobarin atmosferani pokiza tutmoq uchun barcha davlatlar hamjihat ish olib borishlari kerak. (“Fan va turmush”)

binobarin — bu...",Shunga qaramay,Shu sababli,Oxir-oqibatda,Ammo,https://t.me/oriftolib/2689,2,meaning_in_context,"[624, 1165, 477]"
"Bir balosi boʻlmasa, shudgorda quyruq na qilur.

quyruq — bu...",Tilla tanga,Dumba yogʻi,Qoʻgʻirchoq qoʻriqchi,Itlar toʻdasi,https://t.me/oriftolib/3665,2,meaning_in_context,"[549, 1356, 785]"
"Bir gapni tushuntirguncha yetmish marta luqma tashlaydigan shartakilarni... oqlamoqchi emasmiz. (Gazetadan)

shartaki — bu...","Mard, jasur, qiyinchiliklardan qoʻrqmaydigan","Oʻylamay-netmay, yuz-xotir qilmay gapiraveradigan","Biror shart boʻyicha kelishib, keyin unga amal qilmaydigan",Biror narsaning ma’nisiga bormasdan gapiraveradigan,https://t.me/oriftolib/4048,2,meaning_in_context,"[95, 1185, 74]"
"Biroz kalovlanib turdi.

kalovlanib — bu...","Dovdirab, esankirab","Oʻylanib, xayolga tolib","Tipirchilab, silkinib",Ust boshini toʻgʻirlab,https://t.me/oriftolib/2625,1,meaning_in_context,"[2015, 1057, 238]"
"Borni tejab, yoʻndirib, dam och, dam chalaqursoq boʻlib yashadik. (Oybek, “Tanlangan asarlar”)

chalaqursoq — bu...",Oʻta och,Yarim och,Toʻq,Bo‘kib ketib,https://t.me/oriftolib/3371,2,meaning_in_context,"[240, 1349, 235]"
"Bu bola onasidek tuygʻun ekan.

tuygʻun — bu...","Tez hayajonlanadigan, xavotirga beriladigan","Yigʻloqi, koʻngli boʻsh","Tez fahmlaydigan, sezgir","Yoqimli, muloyim",https://t.me/oriftolib/2615,3,meaning_in_context,"[819, 636, 1371]"
"Burchakdagi toshoyna, servant ustidagi soatda gʻurub shuʼlasi yalligʻlanar edi. (X. Sultonov, “Bir oqshom ertagi”.)

gʻurub — bu...",Katta hajmli sham,Kun botishi,"Olov, alanga",Soat,https://t.me/oriftolib/3277,2,meaning_in_context,"[730, 1063, 425]"
"Burnogʻi yili terakka oʻn xil atirgul payvand qilgan. (S. Ahmad, ”Sud”)

burnogʻi yili — bu...",Oʻn yillar oldin,Oʻtgan yili,Oʻtgan yildan oldingi yil,Shu yili,https://t.me/oriftolib/3380,3,meaning_in_context,"[277, 1308, 720]"
"Buxoroda, uzoq yili betob boʻlib yotganida ham, koʻziga shunday murdalar, alvastilar.. koʻringan edi. (Mirmuhsin, “Meʼmor”)

uzoq yili — bu...",Oʻn yillar oldin,Oʻtgan yili,Oʻtgan yildan oldingi yil,Shu yili,https://t.me/oriftolib/3382,3,meaning_in_context,"[1506, 402, 473]"
"Chappar urib gullagan bogʻin,
Oʻpar edim vatan tuprogʻin. (H. Olimjon.)

chappar urib — bu...",Oppoq boʻlib,"Yoppasiga, birvarakayiga",Quyoshga talpinib,Hammadan berkinib,https://t.me/oriftolib/2634,2,meaning_in_context,"[503, 1463, 496]"
"Choyxonachi ellik yoshlarda boʻlgan yumaloq, girdigʻum odam. (Oybek, “Tanlangan asarlar”) 

girdigʻum — bu...","Miqti, baqaloq",Jahli tez,Birovga zugʻum oʻtkazadigan,"Tez fahmlaydigan, sezgir",https://t.me/oriftolib/3401,1,meaning_in_context,"[1245, 364, 254]"
"Dadamda bir malay bor... Qorni toʻq, egni butun boʻlsa bas. Ing yoʻq, jing yoʻq ishlayveradi. (Oybek, “Tanlangan asarlar”.)

ing yoʻq, jing yoʻq — bu...","Pulsiz, ish haqisiz","Toʻxtamasdan, kecha-yu kunduz","Indamasdan, soʻzsiz",Shukronalik bilan,https://t.me/oriftolib/3931,3,meaning_in_context,"[375, 254, 1007]"
"Doʻstmuhammad meshkobchi oʻrta boʻyli, sariq moʻylov, bikir yigit boʻlib... boshqa meshkobchilardan koʻproq mehnat qilar edi. (S. Abdulla, “Mavlono Muqimiy”.)

bikr — bu...","Pishiq, baquvvat","Ozgʻin, nimjon","Qorindor, semiz","Harakatchan, chayir",https://t.me/oriftolib/4087,1,meaning_in_context,"[1020, 330, 135]"
"Dunyo afkor ommasi bu voqeaga keskin norozilik bildirdi.

afkor omma — bu...","Jamoatchilik, jamoatchilik fikri","Olimlar, tadqiqotchilar","Siyosatchilar, partiya vakillari","Talabalar, oʻquvchilar",https://t.me/oriftolib/3734,1,meaning_in_context,"[1144, 430, 464]"
"Egniga engil bitmagan shoʻrpeshona, toʻpori, qashshoq dehqon... (Komil Yashin, “Hamza”)

engil — bu...","Yengil bosh kiyim, doʻppi","Kiyim, libos",Kuyovlik sarposi,Yaxshi ish,https://t.me/oriftolib/2529,2,meaning_in_context,"[530, 1093, 489]"
"Ertasi kun peshinda Sanam xolani kayvonilar qatori boʻlajak bir toʻyning maslahatiga chaqirishgan edi. (P. Qodirov, “Qora koʻzlar”).

kayvoni — bu...","Oldin oʻqituvchi boʻlib ishlagan, sobiq oʻqituvchi",Mahalla idorasining xotin-qizlar vakili,"Yoshi ulugʻ, koʻpni koʻrgan","Sehr qiladigan, folchi",https://t.me/oriftolib/3439,3,meaning_in_context,"[150, 341, 1299]"
"Eshik taqilladi. U shoshganidan sarpoychan ketdi.

sarpoychan — bu...",Bashang kiyimda,Yupun kiyimda,Yalangoyoq,O‘ziga oro bermay,https://t.me/oriftolib/1013,3,meaning_in_context,"[67, 198, 317, 47]"
"Eski hammom, eski tos

tos — bu...",Supurgi,Togʻora,Choynak,Chelak,https://t.me/oriftolib/3832,2,meaning_in_context,"[155, 1641, 47]"
"Fayrat-u gʻaflat sening, 
Javlon oʻzing, uryon oʻzing. (E. Vohidov.)

uryon — bu...",Koʻzi yoshli,Yalangʻoch,Dangasa,Yigʻloqi,https://t.me/oriftolib/3679,2,meaning_in_context,"[937, 440, 1162]"
"Gʻalchani izzat qilsang, chorigʻi bilan toʻrga chiqadi.

gʻalcha — bu...","Manman, kibrli","Surbet, betgachopar",Gap-soʻzni tezda uqmaydigan,"Qorindor, semiz",https://t.me/oriftolib/2518,3,meaning_in_context,"[429, 1038, 2495]"
"Haligi savatbosh odam odamlar orasiga kirib, bir zumda gʻoyib boʻldi. (Gazetadan)

savatbosh — bu...",Boshi katta,Paxmoq sochli,"Uquvsiz, landavur","Surbet, betgachopar",https://t.me/oriftolib/3370,2,meaning_in_context,"[785, 993, 491]"
"Hayfkim, ahli tamiz ushbu mahalda xor ekan, 
Oldilar har yerda bulbul oshyonin zogʻlar. (Muqimiy.)

zogʻ — bu...",Hakka,Qargʻa,Burgut,Chumchuq,https://t.me/oriftolib/2667,2,meaning_in_context,"[1023, 1168, 136]"
"Hukmdor qanchalik oqil va odil boʻlsa, raiyat, ulamo, fuzalo ham haqgoʻylikka yuz tutgay. (M. Mahmudov, “Mangu kuy izlab”.)

raiyat — bu...","Xalq, fuqarolar","Amaldorlar, arkoni davlat","Boylar, zodagonlar","Olimlar, tadqiqotchilar",https://t.me/oriftolib/2585,1,meaning_in_context,"[1469, 827, 165]"
"Igna bilan bitadigan ishga juvoldiz tiqma

juvoldiz — bu...",Xanjar,Yoʻgʻon igna,Choʻp,Ketmon,https://t.me/oriftolib/2552,2,meaning_in_context,"[648, 1565, 476]"
"Kishan qulf sindirilib, zanbil eshik ham ochildi, hujradagi loʻkidonning “tili”ga tushunadigan oʻgʻri boʻlsa, uni ham ochdi deyaylik. (A. Qodiriy, “Obid ketmon”.)

loʻkidon — bu...",Tortma,Chamadon,Yogʻoch qulf,Seyf,https://t.me/oriftolib/3826,3,meaning_in_context,"[315, 515, 566]"
"Ko‘nglim malul etma, qo‘rquv nimasi?
Bir safar ishidir, qo‘yvor, Ozodim!

malul — bu...","Lol, hayron","Xafa, diltang","Hayajonli, zavqli","Yoqimli, muloyim",https://t.me/oriftolib/3232,2,meaning_in_context,"[556, 834, 175]"
"Mahkam aka uvvalo tushuntirishga urinsa ham, chol eshitmasdi. (R. Fayziy, “Hazrati inson”.)

uvvalo — bu...",Yalinib-yolvorib,Astoydil urinib,Baqirib-chaqirib,Sekin-sekin,https://t.me/oriftolib/3055,2,meaning_in_context,"[310, 1074, 259]"
"Meni koʻrdi-yu... bola bechora tarrakdek qotdi. (X. Toʻxtaboyev, “Sariq devni minib”.)

tarrak — bu...","Taxta, yogʻoch",Poliz ekini,"Sham, mum","Tosh, gʻisht",https://t.me/oriftolib/3141,2,meaning_in_context,"[1208, 401, 300]"
"Miyigʻida kuldi.

miyiq — bu...",Labning cheti,Moʻylov,Koʻzning chala yumilishi,Peshana,https://t.me/oriftolib/2282,2,meaning_in_context,"[1541, 289, 372]"
"Mo‘r-malaxday bostirib keldi.

Malax — bu...",Chumoli,Qushlar galasi,Chigirtka,Qumursqa,https://t.me/oriftolib/1855,3,meaning_in_context,"[706, 515, 1116]"
"Naim amaki gʻaddorroq-ku, lekin otamdan hayiqardi. (M. M. Doʻst, “Galatepaga qaytish”)

gʻaddor — bu...","Yolgʻonchi, koʻp aldaydigan","Ayyor, tulkiday hiylagar","Mehr-shafqatsiz, berahm","Yigʻloqi, koʻngli boʻsh",https://t.me/oriftolib/3399,3,meaning_in_context,"[525, 750, 615]"
