question,option_1,option_2,option_3,option_4,source,num_voters
Қай бири тўғри?,Юзи бурушди. | Yuzi burushdi.,Юзи буришди. | Yuzi burishdi.,Иккови ҳам тўғри.,,https://t.me/oriftolib/1001,"[166, 397, 88]"
Қай бири тўғри?,Пулни совурмоқ | Pulni sovurmoq,Пулни совирмоқ | Pulni sovirmoq,Иккаласи ҳам тўғри.,,https://t.me/oriftolib/1007,"[1068, 344, 179]"
Қай бири тўғри?,Илгарги | Ilgargi,Илгариги | Ilgarigi,Иккови ҳам тўғри.,,https://t.me/oriftolib/1008,"[126, 396, 157]"
"Эшик тақиллади. У шошганидан сарпойчан кетди.

Жумладаги “сарпойчан” сўзи нима маънода?",Башанг кийимда,Юпун кийимда,Ялангоёқ,Ўзига оро бермай,https://t.me/oriftolib/1013,"[67, 198, 317, 47]"
Қай бири тўғри?,Мазахламоқ | Mazaxlamoq,Мазаҳламоқ | Mazahlamoq,,,https://t.me/oriftolib/1016,"[381, 272]"
"... қоматли йигит.

Мос сўзни танланг.",Адил,Адл,Иккови ҳам тўғри.,,https://t.me/oriftolib/1020,"[187, 292, 94]"
Қай бири тўғри?,Мана бу | Mana bu,Манави | Manavi,Иккови ҳам тўғри.,,https://t.me/oriftolib/1025,"[260, 32, 371]"
Қай бири тўғри?,Тузикмисиз? | Tuzikmisiz?,Тузукмисиз? | Tuzukmisiz?,Иккови ҳам тўғри.,,https://t.me/oriftolib/1028,"[148, 494, 93]"
Қай бири тўғри?,Сариёғ | Sariyogʻ,Сарёғ | Saryogʻ,Иккови ҳам тўғри.,,https://t.me/oriftolib/1032,"[931, 677, 259]"
Қай бири тўғри?,Толқон | Tolqon,Талқон | Talqon,,,https://t.me/oriftolib/1035,"[2437, 2379]"
Қай бири тўғри?,Букур | Bukur,Букри | Bukri,Иккови ҳам тўғри.,,https://t.me/oriftolib/1039,"[70, 379, 213]"
Қай бири тўғри?,Жонон | Jonon,Жанон | Janon,Иккови ҳам тўғри.,,https://t.me/oriftolib/1044,"[239, 297, 232]"
Қай бири тўғри?,Босма табоқ | Bosma taboq,Босма тобоқ | Bosma toboq,Иккови ҳам тўғри.,,https://t.me/oriftolib/1049,"[420, 225, 86]"
Қай бири тўғри?,Чориёрлар | Choriyorlar,Чорёрлар | Choryorlar,Иккови ҳам тўғри.,,https://t.me/oriftolib/1053,"[355, 239, 89]"
Қай бири тўғри?,Устувор вазифа | Ustuvor vazifa,Устивор вазифа | Ustivor vazifa,Иккови ҳам тўғри.,,https://t.me/oriftolib/1058,"[510, 141, 42]"
Қай бири тўғри?,Мовароуннаҳр | Movarounnahr,Моварауннаҳр | Movaraunnahr,Маварауннаҳр | Mavaraunnahr,,https://t.me/oriftolib/1063,"[531, 192, 36]"
Майда гуруч – ...,Оқишоқ | Oqishoq,Оқшоқ | Oqshoq,Иккови ҳам тўғри.,,https://t.me/oriftolib/1067,"[126, 379, 87]"
Қай бири тўғри?,Имтиёз қўлланилади | Imtiyoz qoʻllaniladi,Имтиёз қўлланади | Imtiyoz qoʻllanadi,Иккови ҳам тўғри.,,https://t.me/oriftolib/1073,"[231, 165, 201]"
Қай бири тўғри?,Шаҳдам қадам ташлади | Shahdam qadam tashladi,Шахдам қадам ташлади | Shaxdam qadam tashladi,,,https://t.me/oriftolib/1079,"[711, 731]"
Қай бири тўғри?,Пахмоқ | Paxmoq,Паҳмоқ | Pahmoq,,,https://t.me/oriftolib/1082,"[933, 502]"
Қай бири тўғри?,Чалғу | Chalgʻu,Чолғу | Cholgʻu,,,https://t.me/oriftolib/1094,"[48, 587]"
Қай бири тўғри?,Жўмрак | Joʻmrak,Жумрак | Jumrak,,,https://t.me/oriftolib/1098,"[464, 176]"
Қай бири тўғри?,Қозоғистон | Qozogʻiston,Қозоқистон | Qozoqiston,,,https://t.me/oriftolib/1101,"[520, 54]"
Қай бири тўғри?,Қувайт давлати | Quvayt davlati,Кувайт давлати | Kuvayt davlati,,,https://t.me/oriftolib/1106,"[508, 126]"
Қай бири тўғри?,Соғлиқ | Sogʻliq,Соғлик | Sogʻlik,Иккови ҳам тўғри.,,https://t.me/oriftolib/1111,"[217, 208, 332]"
Қай бири тўғри?,Бир баҳия қолди | Bir bahiya qoldi,Бир баҳя қолди | Bir bahya qoldi,Бир бахя қолди | Bir baxya qoldi,,https://t.me/oriftolib/1115,"[146, 517, 148]"
Қай бири тўғри?,Мосуво бўлди | Mosuvo boʻldi,Мосиво бўлди | Mosivo boʻldi,,,https://t.me/oriftolib/1119,"[626, 190]"
Қай бири тўғри?,Мана бу,Манави,Иккови ҳам тўғри.,,https://t.me/oriftolib/1123,"[264, 22, 321]"
"Қай бири тўғри? 

(Масалан: чиқим камаймади, ... кўпайди.)",Қайтага | Qaytaga,Қайтанга | Qaytanga,Иккови ҳам тўғри.,,https://t.me/oriftolib/1126,"[191, 209, 410]"
Қай бири тўғри?,Ўрта махсус таълим | Oʻrta maxsus taʼlim,Ўрта-махсус таълим | Oʻrta-maxsus taʼlim,,,https://t.me/oriftolib/1131,"[480, 343]"
Қай бири тўғри?,Гулруҳ | Gulruh,Гулрух | Gulrux,,,https://t.me/oriftolib/1136,"[339, 303]"
Қай бири тўғри?,Рахна солди | Raxna soldi,Раҳна солди | Rahna soldi,,,https://t.me/oriftolib/1143,"[347, 475]"
Қай бири тўғри?,Меҳнати сингган | Mehnati singgan,Меҳнати синган | Mehnati singan,,,https://t.me/oriftolib/1149,"[515, 343]"
Қай бири тўғри?,Рихлат қилди | Rixlat qildi,Риҳлат қилди | Rihlat qildi,,,https://t.me/oriftolib/1156,"[475, 357]"
Қай бири тўғри?,Тадқиқ қилмоқ | Tadqiq qilmoq,Татқиқ қилмоқ | Tatqiq qilmoq,,,https://t.me/oriftolib/1161,"[615, 133]"
Қай бири тўғри?,Мавжудод | Mavjudod,Мавжудот | Mavjudot,,,https://t.me/oriftolib/1165,"[214, 563]"
"Қай бири тўғри? 

(Масалан: мактаб ... қурилди.)",Янгидан | Yangidan,Янгитдан | Yangitdan,Иккови ҳам тўғри.,,https://t.me/oriftolib/1169,"[303, 140, 363]"
"Қай бири тўғри? 

(Масалан: сочлари ... )",Сунбул | Sunbul,Сумбул | Sumbul,Иккови ҳам тўғри.,,https://t.me/oriftolib/1173,"[200, 249, 277]"
Қай бири тўғри?,Дуторчилар ансанбли | Dutorchilar ansanbli,Дуторчилар ансамбли | Dutorchilar ansambli,Иккови ҳам тўғри.,,https://t.me/oriftolib/1178,"[161, 492, 129]"
